Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
6,326.25,4,94,128,5062213753,0.000854701,0.01791847,0,0,2,2,5,1,3,1,0,0
0,0,0,0,11,577,0.018181818,0.027272727,0,0.2,2,2,2,3,1,1,0,0
4,462,0,0,51,1873216667,0,0.00754717,0,0.6,2,2,2,9,3,1,0,0
4,103625,0,0,14,1003416667,0,0.018039216,0,0.2,2,1,1,3,3,1,0,0
0,0,0,0,9,272.5,0,0.011851852,0,0.2,2,1,1,6,3,1,0,0
3,19,0,0,8,344,0,0.007407407,0,0,2,2,4,2,3,1,0,0
1,1561428571,0,0,18,1181198413,0,0.048235294,0,0,3,3,2,4,1,1,0,0
2,0,0,0,17,1394666667,0,0.029761905,0,0,3,2,4,2,6,1,0,0
5,282,0,0,8,326,0,0.022222222,0,0,3,1,1,1,3,1,0,0
0,0,0,0,9,4598307692,0,0.001587302,0,0,3,3,2,8,2,1,1,0
3,5128333333,2,278,3,162,0,0.014285714,0,0,3,3,2,1,8,0,1,0
0,0,0,0,1,0,0.2,0.2,0,0,3,1,1,3,1,1,0,0
1,112,0,0,37,2043.5,0.005555556,0.016666667,123578472,0,3,2,5,3,6,1,0,1
4,73.5,0,0,24,6634666667,0.002564103,0.004395604,0,0,3,3,2,1,1,1,0,0
3,1846888889,0,0,129,7669250794,0,0.009135204,0,0,3,2,2,8,13,1,0,0
0,0,0,0,13,2533333333,0.030769231,0.073076923,0,0.8,5,2,2,5,3,1,0,0
9,1759333333,0,0,28,7172190476,0.005882353,0.017058824,0,1,5,2,2,5,4,1,1,0
4,47,0,0,29,5198533333,0,0.019892473,0,0,5,2,4,2,2,1,0,0
4,92,0,0,19,1148838095,0.012121212,0.025289256,3206509091,0,5,3,2,3,3,1,0,0
1,4,0,0,13,1526666667,0.033333333,0.083333333,0,0,5,2,2,3,6,1,0,0
0,0,0,0,4,57,0.1,0.15,0,0,5,1,1,3,3,1,1,0
4,99.5,0,0,46,9530686869,0,0.014285714,0,0,5,1,1,6,4,1,1,0
2,70,0,0,11,714.5,0.014285714,0.028571429,0,0,5,2,2,2,6,1,1,0
12,6379388889,0,0,61,1797298291,0.025147059,0.029877803,0,0,5,3,2,1,1,1,0,0
0,0,0,0,8,118,0,0.0125,0,0.2,5,2,2,2,2,1,0,0
4,144.5,0,0,19,885125,0.021052632,0.050877193,0,0.6,5,3,2,6,13,1,0,0
0,0,0,0,27,783.25,0.014814815,0.033227513,0,0.6,5,2,10,3,3,1,0,0
2,282.5,0,0,17,451,0.0625,0.085416667,0,0,5,3,2,3,13,1,0,0
0,0,0,0,1,0,0.2,0.2,0,0,5,2,10,3,1,1,0,0
2,4633333333,0,0,11,1774047619,0.016666667,0.038194444,0,0,5,3,2,5,4,1,0,0
0,0,0,0,6,99,0.066666667,0.083333333,0,0.2,5,2,2,2,2,1,0,0
0,0,0,0,1,0,0.2,0.2,0,0,5,3,2,3,13,1,0,0
5,131995614,0,0,35,1712833333,0,0.000263158,0,0.4,5,2,2,3,3,0,0,0
4,1476666667,2,9633333333,46,1041316345,0.000571429,0.013478622,2690792571,0,5,2,2,6,4,1,1,0
1,45064,0,0,32,8146071429,0,0.024019608,3111047059,0.6,5,2,2,1,4,1,0,1
2,78,0,0,15,269.75,0,0.013333333,22738,0,5,3,2,4,2,0,0,1
3,26,0,0,85,768.5,0,0.005813953,0,0,5,2,5,4,4,1,0,0
9,249.5,0,0,66,2506333333,0.015277778,0.041369048,1399708333,0,5,2,2,6,6,1,0,1
7,356,1,37,61,6831738095,0,0.006349206,0,0,5,2,2,1,3,0,0,0
0,0,1,11,54,1299196667,0.003636364,0.022545455,0,0,9,1,1,3,2,1,1,0
1,58.4,0,0,18,1045.3,0,0.026315789,0,0,9,2,2,2,1,1,0,0
6,107.04,3,53.2,114,50666611,0.006666667,0.016180556,0,0,11,3,2,3,3,1,1,0
2,44985,1,0,114,3161074762,0.017699115,0.042576205,0,0,8,2,2,2,1,1,0,0
4,209.5,0,0,23,1780.7,0,0.011538462,0,0,11,2,2,3,2,0,0,0
3,250.8,2,270.6,20,1424.4,0,0,3172080812,0,11,2,2,5,5,0,0,1
5,256.1,2,99.7,4,417.4,0,0.01,0,0,9,1,1,6,2,0,0,0
6,2591833333,0,0,54,7847342857,0.004511278,0.018114342,0,0,10,3,2,3,2,1,0,0
7,3010777778,0,0,27,1538056725,0.013333333,0.036382031,1115668928,0,7,3,2,3,2,1,0,0
1,106.3,0,0,32,2331.15,0.03125,0.048958333,0,0,8,3,2,4,1,1,0,0
5,116.2,0,0,38,1057033333,0.030769231,0.05,0,0,11,1,8,1,1,1,0,0
0,0,0,0,5,186.5,0,0.04,0,0,11,2,2,1,2,1,0,0
0,0,0,0,10,478.5,0,0.02,0,0,11,4,1,1,2,0,0,0
3,29.75,0,0,12,3989803922,0,0.005555556,5051764193,0,11,2,2,2,2,0,0,1
4,122.25,0,0,45,2007522619,0.013043478,0.018657031,0,0,11,1,1,4,2,1,0,0
7,1318333333,0,0,63,2074611111,0.010793651,0.02000962,0,0,12,3,2,3,10,1,0,0
0,0,0,0,6,291,0,0.033333333,0,0,11,2,6,7,1,1,0,0
1,4,4,1233333333,79,2387139881,0.028733963,0.046198341,0,0,11,3,2,1,13,1,1,0
0,0,0,0,11,3322916667,0,0.009090909,0,0,12,2,2,2,2,1,0,0
4,1781666667,4,1626666667,4,2148333333,0,0.018181818,0,0,12,2,2,2,1,1,0,0
13,3015616883,1,14,55,3328903752,0.007936508,0.014212018,3860204838,0,11,1,1,1,2,1,0,0
4,61.25,0,0,21,595.75,0.038095238,0.076190476,0,0,12,2,2,4,1,1,0,0
0,0,3,588,153,5315211905,0.006174089,0.020586081,0,0,11,2,2,1,3,1,0,0
5,110,6,1188.5,230,9648177094,0.004444444,0.015486639,3359435653,0,11,2,2,1,2,1,0,0
4,45066,1,59,5,83.5,0,0.014814815,0,0,12,2,2,9,3,1,0,0
2,43.5,0,0,26,9716666667,0,0.009259259,151510483,0,12,2,2,3,2,1,0,1
0,0,0,0,29,4279966667,0.044827586,0.072413793,0,0,12,2,2,1,1,1,0,0
7,304.5,3,56.5,69,2350905769,0.012088889,0.018292063,0,0,12,3,2,2,2,1,0,0
0,0,0,0,14,152,0.057142857,0.057142857,0,0,12,1,1,4,3,1,0,0
7,4418333333,3,102.5,231,9230890838,0.006458333,0.021838687,0,0,11,3,2,1,2,1,1,0
3,117,0,0,98,3653641667,0.002680653,0.0296601,0,0,11,2,5,9,2,1,0,0
12,257.75,0,0,3,97.5,0,0.038461538,0,0,12,3,2,4,8,1,0,1
